index,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare,economy_fare_usd,business_fare_usd,first_fare_usd
6524,BCN,ATL,10:55:00,6,4:00:00,14:55:00,6,DL195,DL,Delta Airlines,134760,,,1617.12,,
6525,BCN,ATL,10:55:00,6,4:00:00,14:55:00,6,VS3937,VS,Virgin Atlantic,161511,,476444,1938.132,,5717.328
6526,BCN,ATL,10:55:00,0,4:00:00,14:55:00,0,DL195,DL,Delta Airlines,162219,,379477,1946.628,,4553.724
6527,BCN,ATL,10:55:00,0,4:00:00,14:55:00,0,VS3937,VS,Virgin Atlantic,162219,,379477,1946.628,,4553.724
6528,BCN,DXB,21:00:00,2,8:55:00,5:55:00,3,EK188,EK,Emirates,50372,,241955,604.464,,2903.46
6529,BCN,DXB,21:00:00,3,8:55:00,5:55:00,4,EK188,EK,Emirates,55512,,242401,666.144,,2908.812
6530,BCN,DXB,21:00:00,1,8:55:00,5:55:00,2,EK188,EK,Emirates,60585,,378027,727.02,,4536.324
6531,BCN,DXB,21:00:00,0,8:55:00,5:55:00,1,EK188,EK,Emirates,60585,,364115,727.02,,4369.38
6532,BCN,DXB,21:00:00,5,8:55:00,5:55:00,6,EK188,EK,Emirates,62890,,,754.68,,
6533,BCN,DXB,15:30:00,2,8:45:00,0:15:00,3,EK256,EK,Emirates,75277,,241955,903.324,,2903.46
6534,BCN,DXB,15:30:00,3,8:45:00,0:15:00,4,EK256,EK,Emirates,75277,,271014,903.324,,3252.168
6535,BCN,DXB,15:30:00,1,8:45:00,0:15:00,2,EK256,EK,Emirates,75277,,378027,903.324,,4536.324
6536,BCN,DXB,15:30:00,6,8:45:00,0:15:00,0,EK256,EK,Emirates,75453,,271037,905.436,,3252.444
6537,BCN,DXB,21:00:00,4,8:55:00,5:55:00,5,EK188,EK,Emirates,77533,,272084,930.396,,3265.008
6538,BCN,DXB,15:30:00,4,8:45:00,0:15:00,5,EK256,EK,Emirates,77582,,240406,930.984,,2884.872
6539,BCN,DXB,15:30:00,5,8:45:00,0:15:00,6,EK256,EK,Emirates,77582,,335090,930.984,,4021.08
6540,BCN,DXB,21:00:00,6,8:55:00,5:55:00,0,EK188,EK,Emirates,114218,,239123,1370.616,,2869.476
6541,BCN,DXB,15:30:00,0,8:45:00,0:15:00,1,EK256,EK,Emirates,325910,,333666,3910.92,,4003.992
6542,BCN,LAX,14:00:00,2,4:10:00,18:10:00,2,IB2623,IB,Iberia Airways,102299,,,1227.588,,
6543,BCN,LAX,14:00:00,2,4:10:00,18:10:00,2,VY9793,VY,Vueling Airlines,105612,,,1267.344,,
6544,BCN,LAX,14:00:00,2,4:10:00,18:10:00,2,IB2623,IB,Iberia Airways,122342,,,1468.104,,
6545,BCN,LAX,14:00:00,3,4:10:00,18:10:00,3,VY9793,VY,Vueling Airlines,139652,,,1675.824,,
6546,BCN,LAX,14:00:00,0,4:10:00,18:10:00,0,VY9793,VY,Vueling Airlines,150625,,,1807.5,,
6547,BCN,LAX,14:00:00,5,4:10:00,18:10:00,5,VY9793,VY,Vueling Airlines,150625,,,1807.5,,
6548,BCN,LAX,14:00:00,5,4:10:00,18:10:00,5,IB2623,IB,Iberia Airways,161964,,,1943.568,,
